Region name,Year,Series_Type,Value,Model
East Midlands,2025,Forecast,7.1397,Rolling Mean Baseline (2)
East Midlands,2026,Forecast,6.9877,Rolling Mean Baseline (2)
East Midlands,2027,Forecast,7.0637,Rolling Mean Baseline (2)
East Midlands,2028,Forecast,7.0257,Rolling Mean Baseline (2)
East Midlands,2029,Forecast,7.0447,Rolling Mean Baseline (2)
East of England,2025,Forecast,9.3593,Rolling Mean Baseline (2)
East of England,2026,Forecast,9.1187,Rolling Mean Baseline (2)
East of England,2027,Forecast,9.239,Rolling Mean Baseline (2)
East of England,2028,Forecast,9.1788,Rolling Mean Baseline (2)
East of England,2029,Forecast,9.2089,Rolling Mean Baseline (2)
London,2025,Forecast,12.8827,Rolling Mean Baseline (2)
London,2026,Forecast,12.6341,Rolling Mean Baseline (2)
London,2027,Forecast,12.7584,Rolling Mean Baseline (2)
London,2028,Forecast,12.6963,Rolling Mean Baseline (2)
London,2029,Forecast,12.7273,Rolling Mean Baseline (2)
North East,2025,Forecast,5.0358,Rolling Mean Baseline (2)
North East,2026,Forecast,4.9138,Rolling Mean Baseline (2)
North East,2027,Forecast,4.9748,Rolling Mean Baseline (2)
North East,2028,Forecast,4.9443,Rolling Mean Baseline (2)
North East,2029,Forecast,4.9595,Rolling Mean Baseline (2)
North West,2025,Forecast,5.9096,Rolling Mean Baseline (2)
North West,2026,Forecast,5.7914,Rolling Mean Baseline (2)
North West,2027,Forecast,5.8505,Rolling Mean Baseline (2)
North West,2028,Forecast,5.8209,Rolling Mean Baseline (2)
North West,2029,Forecast,5.8357,Rolling Mean Baseline (2)
South East,2025,Forecast,10.0378,Rolling Mean Baseline (2)
South East,2026,Forecast,9.7908,Rolling Mean Baseline (2)
South East,2027,Forecast,9.9143,Rolling Mean Baseline (2)
South East,2028,Forecast,9.8525,Rolling Mean Baseline (2)
South East,2029,Forecast,9.8834,Rolling Mean Baseline (2)
South West,2025,Forecast,8.9981,Rolling Mean Baseline (2)
South West,2026,Forecast,8.7673,Rolling Mean Baseline (2)
South West,2027,Forecast,8.8827,Rolling Mean Baseline (2)
South West,2028,Forecast,8.825,Rolling Mean Baseline (2)
South West,2029,Forecast,8.8538,Rolling Mean Baseline (2)
Wales,2025,Forecast,6.0052,Rolling Mean Baseline (2)
Wales,2026,Forecast,5.9094,Rolling Mean Baseline (2)
Wales,2027,Forecast,5.9573,Rolling Mean Baseline (2)
Wales,2028,Forecast,5.9334,Rolling Mean Baseline (2)
Wales,2029,Forecast,5.9454,Rolling Mean Baseline (2)
West Midlands,2025,Forecast,7.2285,Rolling Mean Baseline (2)
West Midlands,2026,Forecast,7.1029,Rolling Mean Baseline (2)
West Midlands,2027,Forecast,7.1657,Rolling Mean Baseline (2)
West Midlands,2028,Forecast,7.1343,Rolling Mean Baseline (2)
West Midlands,2029,Forecast,7.15,Rolling Mean Baseline (2)
Yorkshire and The Humber,2025,Forecast,5.8493,Rolling Mean Baseline (2)
Yorkshire and The Humber,2026,Forecast,5.709,Rolling Mean Baseline (2)
Yorkshire and The Humber,2027,Forecast,5.7792,Rolling Mean Baseline (2)
Yorkshire and The Humber,2028,Forecast,5.7441,Rolling Mean Baseline (2)
Yorkshire and The Humber,2029,Forecast,5.7616,Rolling Mean Baseline (2)
