Region name,Year,Series_Type,Value
East Midlands,2002,Historical,4.1145
East Midlands,2003,Historical,5.0477
East Midlands,2004,Historical,5.9226
East Midlands,2005,Historical,6.1271
East Midlands,2006,Historical,6.2594
East Midlands,2007,Historical,6.498
East Midlands,2008,Historical,6.1191
East Midlands,2009,Historical,5.4357
East Midlands,2010,Historical,5.7809
East Midlands,2011,Historical,5.6803
East Midlands,2012,Historical,5.5874
East Midlands,2013,Historical,5.5971
East Midlands,2014,Historical,5.8994
East Midlands,2015,Historical,6.2009
East Midlands,2016,Historical,6.2677
East Midlands,2017,Historical,6.54
East Midlands,2018,Historical,6.6834
East Midlands,2019,Historical,6.8117
East Midlands,2020,Historical,6.7157
East Midlands,2021,Historical,7.7757
East Midlands,2022,Historical,7.5437
East Midlands,2023,Historical,7.4437
East Midlands,2024,Forecast,6.8357
East Midlands,2024,Historical,6.8357
East Midlands,2025,Forecast,7.1397
East Midlands,2026,Forecast,6.9877
East Midlands,2027,Forecast,7.0637
East Midlands,2028,Forecast,7.0257
East Midlands,2029,Forecast,7.0447
East of England,2002,Historical,5.5303
East of England,2003,Historical,6.4033
East of England,2004,Historical,6.8878
East of England,2005,Historical,7.2213
East of England,2006,Historical,7.2776
East of England,2007,Historical,7.5682
East of England,2008,Historical,7.462
East of England,2009,Historical,6.5984
East of England,2010,Historical,7.0793
East of England,2011,Historical,7.0111
East of England,2012,Historical,7.07
East of England,2013,Historical,7.1847
East of England,2014,Historical,7.6471
East of England,2015,Historical,8.3209
East of England,2016,Historical,8.9171
East of England,2017,Historical,9.508
East of England,2018,Historical,9.6798
East of England,2019,Historical,9.4331
East of England,2020,Historical,9.3702
East of England,2021,Historical,10.458
East of England,2022,Historical,10.196
East of England,2023,Historical,9.8407
East of England,2024,Forecast,8.878
East of England,2024,Historical,8.878
East of England,2025,Forecast,9.3593
East of England,2026,Forecast,9.1187
East of England,2027,Forecast,9.239
East of England,2028,Forecast,9.1788
East of England,2029,Forecast,9.2089
London,2002,Historical,7.1467
London,2003,Historical,7.8466
London,2004,Historical,8.2309
London,2005,Historical,8.3756
London,2006,Historical,8.6381
London,2007,Historical,9.2231
London,2008,Historical,9.2594
London,2009,Historical,8.4527
London,2010,Historical,9.1159
London,2011,Historical,9.4782
London,2012,Historical,9.6322
London,2013,Historical,10.3038
London,2014,Historical,11.7516
London,2015,Historical,12.9462
London,2016,Historical,14.1376
London,2017,Historical,14.5553
London,2018,Historical,14.513
London,2019,Historical,13.8881
London,2020,Historical,13.6541
London,2021,Historical,14.4975
London,2022,Historical,14.5306
London,2023,Historical,13.3797
London,2024,Forecast,12.3856
London,2024,Historical,12.3856
London,2025,Forecast,12.8827
London,2026,Forecast,12.6341
London,2027,Forecast,12.7584
London,2028,Forecast,12.6963
London,2029,Forecast,12.7273
North East,2002,Historical,3.204
North East,2003,Historical,3.855
North East,2004,Historical,4.7025
North East,2005,Historical,5.0467
North East,2006,Historical,5.6108
North East,2007,Historical,5.6958
North East,2008,Historical,5.5567
North East,2009,Historical,5.1067
North East,2010,Historical,5.3458
North East,2011,Historical,5.0192
North East,2012,Historical,4.9333
North East,2013,Historical,5.0267
North East,2014,Historical,5.1017
North East,2015,Historical,5.2292
North East,2016,Historical,5.2142
North East,2017,Historical,5.2392
North East,2018,Historical,5.32
North East,2019,Historical,5.2608
North East,2020,Historical,5.2025
North East,2021,Historical,5.6792
North East,2022,Historical,5.235
North East,2023,Historical,5.28
North East,2024,Forecast,4.7917
North East,2024,Historical,4.7917
North East,2025,Forecast,5.0358
North East,2026,Forecast,4.9138
North East,2027,Forecast,4.9748
North East,2028,Forecast,4.9443
North East,2029,Forecast,4.9595
North West,2002,Historical,3.3465
North West,2003,Historical,3.9663
North West,2004,Historical,4.8483
North West,2005,Historical,5.29
North West,2006,Historical,5.6837
North West,2007,Historical,5.8374
North West,2008,Historical,5.6437
North West,2009,Historical,5.2026
North West,2010,Historical,5.3851
North West,2011,Historical,5.198
North West,2012,Historical,5.1211
North West,2013,Historical,5.1014
North West,2014,Historical,5.2889
North West,2015,Historical,5.4431
North West,2016,Historical,5.5246
North West,2017,Historical,5.6834
North West,2018,Historical,5.644
North West,2019,Historical,5.6811
North West,2020,Historical,5.7489
