Year,Median_House_Price,Median_Earnings,House_Price_Growth_Pct,Earnings_Growth_Pct
2002,111700.42567567568,21064.966216216217,,
2003,132029.18037974683,21801.310126582277,18.199352939885905,3.4955855272115643
2004,151664.8734177215,22652.33227848101,14.87223732018772,3.9035367459916426
2005,163001.15189873418,23458.58860759494,7.474557704465856,3.5592640934366093
2006,170816.75632911394,23924.11075949367,4.794815459485391,1.984442285449406
2007,184004.15506329114,24692.664556962027,7.720202056037717,3.21246547131695
2008,187711.91772151898,25740.053797468354,2.0150428977826707,4.241701976269785
2009,174028.5754716981,26351.569182389936,-7.28954368796172,2.3757346807943724
2010,185676.76898734178,26433.20253164557,6.693264875651406,0.3097855337973021
2011,186832.63722397477,26725.170347003153,0.6225163454410376,1.1045495338979139
2012,187686.6487341772,26982.629746835442,0.45709974600349756,0.9633592470670971
2013,193743.26898734178,27404.683544303796,3.226985134005278,1.5641685092530722
2014,208535.75632911394,27550.348101265823,7.635097425107773,0.5315316147567861
2015,225478.91772151898,27927.95569620253,8.124823143358274,1.3706091609033466
2016,245060.05047318613,28664.18611987382,8.684241058780984,2.6361772830060692
2017,258535.44936708861,29226.145569620254,5.49881503243097,1.9604933047682405
2018,268381.6813880126,29977.741324921135,3.8084649687414984,2.5716554155609916
2019,270046.8359621451,30810.55520504732,0.6204427088766673,2.7781075001599653
2020,278125.31962025317,31888.224683544304,2.991512057279011,3.497728201666561
2021,302486.34493670886,31525.316455696204,8.759010272677713,-1.1380634433229453
2022,315381.05993690854,33525.05047318612,4.26290813322423,6.343263898080842
2023,322182.31962025317,35536.49683544304,2.1565212840318315,5.9998309737540945
2024,314510.12341772154,37943.66139240506,-2.3813213001801614,6.773781242728427
